Tool, Runtime
RefactoringMiner 1.0, 1593
RefactoringMiner 1.0, 399
RefactoringMiner 1.0, 27
RefactoringMiner 1.0, 6721
RefactoringMiner 1.0, 770
RefactoringMiner 1.0, 2363
RefactoringMiner 1.0, 1668
RefactoringMiner 1.0, 19
RefactoringMiner 1.0, 273
RefactoringMiner 1.0, 25
RefactoringMiner 1.0, 29
RefactoringMiner 1.0, 158
RefactoringMiner 1.0, 143
RefactoringMiner 1.0, 3093
RefactoringMiner 1.0, 235
RefactoringMiner 1.0, 3828
RefactoringMiner 1.0, 1513
RefactoringMiner 1.0, 2980
RefactoringMiner 1.0, 110
RefactoringMiner 1.0, 500
RefactoringMiner 1.0, 137
RefactoringMiner 1.0, 67
RefactoringMiner 1.0, 1455
RefactoringMiner 1.0, 30
RefactoringMiner 1.0, 580
RefactoringMiner 1.0, 286
RefactoringMiner 1.0, 23
RefactoringMiner 1.0, 48
RefactoringMiner 1.0, 38
RefactoringMiner 1.0, 298
RefactoringMiner 1.0, 15
RefactoringMiner 1.0, 3
RefactoringMiner 1.0, 245
RefactoringMiner 1.0, 72
RefactoringMiner 1.0, 14
RefactoringMiner 1.0, 127
RefactoringMiner 1.0, 28
RefactoringMiner 1.0, 120
RefactoringMiner 1.0, 2008
RefactoringMiner 1.0, 40
RefactoringMiner 1.0, 99
RefactoringMiner 1.0, 11
RefactoringMiner 1.0, 55
RefactoringMiner 1.0, 35
RefactoringMiner 1.0, 89
RefactoringMiner 1.0, 67
RefactoringMiner 1.0, 81
RefactoringMiner 1.0, 75
RefactoringMiner 1.0, 311
RefactoringMiner 1.0, 15
RefactoringMiner 1.0, 85
RefactoringMiner 1.0, 1133
RefactoringMiner 1.0, 7
RefactoringMiner 1.0, 2802
RefactoringMiner 1.0, 205
RefactoringMiner 1.0, 419
RefactoringMiner 1.0, 16
RefactoringMiner 1.0, 18
RefactoringMiner 1.0, 61
RefactoringMiner 1.0, 25589
RefactoringMiner 1.0, 46
RefactoringMiner 1.0, 56
RefactoringMiner 1.0, 161
RefactoringMiner 1.0, 59160
RefactoringMiner 1.0, 131
RefactoringMiner 1.0, 5094
RefactoringMiner 1.0, 63
RefactoringMiner 1.0, 24876
RefactoringMiner 1.0, 69
RefactoringMiner 1.0, 51
RefactoringMiner 1.0, 441
RefactoringMiner 1.0, 141
RefactoringMiner 1.0, 33
RefactoringMiner 1.0, 3684
RefactoringMiner 1.0, 217
RefactoringMiner 1.0, 201
RefactoringMiner 1.0, 1146
RefactoringMiner 1.0, 12
RefactoringMiner 1.0, 54
RefactoringMiner 1.0, 323
RefactoringMiner 1.0, 18927
RefactoringMiner 1.0, 47
RefactoringMiner 1.0, 74
RefactoringMiner 1.0, 18
RefactoringMiner 1.0, 103
RefactoringMiner 1.0, 52
RefactoringMiner 1.0, 80
RefactoringMiner 1.0, 156
RefactoringMiner 1.0, 70
RefactoringMiner 1.0, 26
RefactoringMiner 1.0, 328
RefactoringMiner 1.0, 451
RefactoringMiner 1.0, 24
RefactoringMiner 1.0, 2134
RefactoringMiner 1.0, 20
RefactoringMiner 1.0, 33
RefactoringMiner 1.0, 465
RefactoringMiner 1.0, 25
RefactoringMiner 1.0, 201
RefactoringMiner 1.0, 510
RefactoringMiner 1.0, 50
RefactoringMiner 1.0, 70
RefactoringMiner 1.0, 748
RefactoringMiner 1.0, 83
RefactoringMiner 1.0, 494
RefactoringMiner 1.0, 68
RefactoringMiner 1.0, 21
RefactoringMiner 1.0, 158
RefactoringMiner 1.0, 13
RefactoringMiner 1.0, 244
RefactoringMiner 1.0, 18
RefactoringMiner 1.0, 44455
RefactoringMiner 1.0, 32
RefactoringMiner 1.0, 11
RefactoringMiner 1.0, 3945
RefactoringMiner 1.0, 20
RefactoringMiner 1.0, 46
RefactoringMiner 1.0, 51
RefactoringMiner 1.0, 148
