Tool, Runtime
RefactoringMiner 2.0, 11
RefactoringMiner 2.0, 51
RefactoringMiner 2.0, 32
RefactoringMiner 2.0, 27
RefactoringMiner 2.0, 10
RefactoringMiner 2.0, 11
RefactoringMiner 2.0, 131
RefactoringMiner 2.0, 38
RefactoringMiner 2.0, 5
RefactoringMiner 2.0, 15
RefactoringMiner 2.0, 89
RefactoringMiner 2.0, 30
RefactoringMiner 2.0, 92
RefactoringMiner 2.0, 18
RefactoringMiner 2.0, 21
RefactoringMiner 2.0, 8
RefactoringMiner 2.0, 13
RefactoringMiner 2.0, 27
RefactoringMiner 2.0, 14
RefactoringMiner 2.0, 16
RefactoringMiner 2.0, 106
RefactoringMiner 2.0, 49
RefactoringMiner 2.0, 14
RefactoringMiner 2.0, 10
RefactoringMiner 2.0, 53
RefactoringMiner 2.0, 26
RefactoringMiner 2.0, 15
RefactoringMiner 2.0, 11
RefactoringMiner 2.0, 275
RefactoringMiner 2.0, 4
RefactoringMiner 2.0, 231
RefactoringMiner 2.0, 28
RefactoringMiner 2.0, 32
RefactoringMiner 2.0, 36
RefactoringMiner 2.0, 17
RefactoringMiner 2.0, 44
RefactoringMiner 2.0, 96
RefactoringMiner 2.0, 24
RefactoringMiner 2.0, 80
RefactoringMiner 2.0, 9
RefactoringMiner 2.0, 3
RefactoringMiner 2.0, 125
RefactoringMiner 2.0, 131
RefactoringMiner 2.0, 138
RefactoringMiner 2.0, 135
RefactoringMiner 2.0, 357
RefactoringMiner 2.0, 97
RefactoringMiner 2.0, 4
RefactoringMiner 2.0, 39
RefactoringMiner 2.0, 91
RefactoringMiner 2.0, 116
RefactoringMiner 2.0, 197
RefactoringMiner 2.0, 178
RefactoringMiner 2.0, 17
RefactoringMiner 2.0, 285
RefactoringMiner 2.0, 32
RefactoringMiner 2.0, 49
RefactoringMiner 2.0, 52
RefactoringMiner 2.0, 7
RefactoringMiner 2.0, 485
RefactoringMiner 2.0, 476
RefactoringMiner 2.0, 477
RefactoringMiner 2.0, 14
RefactoringMiner 2.0, 10
RefactoringMiner 2.0, 473
RefactoringMiner 2.0, 133
RefactoringMiner 2.0, 29
RefactoringMiner 2.0, 1
RefactoringMiner 2.0, 420
RefactoringMiner 2.0, 7
RefactoringMiner 2.0, 103
RefactoringMiner 2.0, 47
RefactoringMiner 2.0, 29
RefactoringMiner 2.0, 56
RefactoringMiner 2.0, 5
RefactoringMiner 2.0, 379
RefactoringMiner 2.0, 2
RefactoringMiner 2.0, 419
RefactoringMiner 2.0, 369
RefactoringMiner 2.0, 5
RefactoringMiner 2.0, 448
RefactoringMiner 2.0, 18
RefactoringMiner 2.0, 85
RefactoringMiner 2.0, 79
RefactoringMiner 2.0, 59
RefactoringMiner 2.0, 97
RefactoringMiner 2.0, 58
RefactoringMiner 2.0, 408
RefactoringMiner 2.0, 105
RefactoringMiner 2.0, 21
RefactoringMiner 2.0, 29
RefactoringMiner 2.0, 47
RefactoringMiner 2.0, 167
RefactoringMiner 2.0, 23
RefactoringMiner 2.0, 46
RefactoringMiner 2.0, 24
RefactoringMiner 2.0, 318
RefactoringMiner 2.0, 150
RefactoringMiner 2.0, 151
RefactoringMiner 2.0, 71
RefactoringMiner 2.0, 438
RefactoringMiner 2.0, 114
RefactoringMiner 2.0, 28
RefactoringMiner 2.0, 23
RefactoringMiner 2.0, 29
RefactoringMiner 2.0, 24
RefactoringMiner 2.0, 5
RefactoringMiner 2.0, 11
RefactoringMiner 2.0, 8
RefactoringMiner 2.0, 12
RefactoringMiner 2.0, 13248
RefactoringMiner 2.0, 62
RefactoringMiner 2.0, 69
RefactoringMiner 2.0, 875
RefactoringMiner 2.0, 2493
RefactoringMiner 2.0, 11
RefactoringMiner 2.0, 43
RefactoringMiner 2.0, 38
RefactoringMiner 2.0, 21
RefactoringMiner 2.0, 90
RefactoringMiner 2.0, 18
RefactoringMiner 2.0, 7
RefactoringMiner 2.0, 15
RefactoringMiner 2.0, 6
RefactoringMiner 2.0, 14
RefactoringMiner 2.0, 36
RefactoringMiner 2.0, 96
RefactoringMiner 2.0, 11
RefactoringMiner 2.0, 70
RefactoringMiner 2.0, 118
RefactoringMiner 2.0, 3
RefactoringMiner 2.0, 130
RefactoringMiner 2.0, 171
RefactoringMiner 2.0, 96
RefactoringMiner 2.0, 52
RefactoringMiner 2.0, 32
RefactoringMiner 2.0, 251
RefactoringMiner 2.0, 563
RefactoringMiner 2.0, 5
RefactoringMiner 2.0, 27
RefactoringMiner 2.0, 56
RefactoringMiner 2.0, 94
RefactoringMiner 2.0, 46
RefactoringMiner 2.0, 23
RefactoringMiner 2.0, 11
RefactoringMiner 2.0, 117
RefactoringMiner 2.0, 58
RefactoringMiner 2.0, 33
RefactoringMiner 2.0, 63
RefactoringMiner 2.0, 493
RefactoringMiner 2.0, 19
RefactoringMiner 2.0, 24
RefactoringMiner 2.0, 19
RefactoringMiner 2.0, 34
RefactoringMiner 2.0, 49
RefactoringMiner 2.0, 12
RefactoringMiner 2.0, 37
RefactoringMiner 2.0, 57
RefactoringMiner 2.0, 53
RefactoringMiner 2.0, 21
RefactoringMiner 2.0, 188
RefactoringMiner 2.0, 197
RefactoringMiner 2.0, 122
RefactoringMiner 2.0, 8
RefactoringMiner 2.0, 255
RefactoringMiner 2.0, 6
RefactoringMiner 2.0, 18
RefactoringMiner 2.0, 7
RefactoringMiner 2.0, 19
RefactoringMiner 2.0, 60
RefactoringMiner 2.0, 48
