Tool, Runtime
RefDiff 2.0, 715
RefDiff 2.0, 33
RefDiff 2.0, 37
RefDiff 2.0, 143
RefDiff 2.0, 62
RefDiff 2.0, 99
RefDiff 2.0, 3604
RefDiff 2.0, 513
RefDiff 2.0, 49
RefDiff 2.0, 1285
RefDiff 2.0, 127
RefDiff 2.0, 217
RefDiff 2.0, 332
RefDiff 2.0, 60
RefDiff 2.0, 61
RefDiff 2.0, 51
RefDiff 2.0, 1769
RefDiff 2.0, 44
RefDiff 2.0, 68
RefDiff 2.0, 909
RefDiff 2.0, 480
RefDiff 2.0, 110
RefDiff 2.0, 33
RefDiff 2.0, 1712
RefDiff 2.0, 72
RefDiff 2.0, 649
RefDiff 2.0, 147
RefDiff 2.0, 119
RefDiff 2.0, 209
RefDiff 2.0, 42
RefDiff 2.0, 56
RefDiff 2.0, 30
RefDiff 2.0, 47
RefDiff 2.0, 33
RefDiff 2.0, 41
RefDiff 2.0, 137
RefDiff 2.0, 90
RefDiff 2.0, 89
RefDiff 2.0, 181
RefDiff 2.0, 58
RefDiff 2.0, 227
RefDiff 2.0, 47
RefDiff 2.0, 1769
RefDiff 2.0, 263
RefDiff 2.0, 70
RefDiff 2.0, 62
RefDiff 2.0, 137
RefDiff 2.0, 4259
RefDiff 2.0, 129
RefDiff 2.0, 174
RefDiff 2.0, 94
RefDiff 2.0, 1089
RefDiff 2.0, 526
RefDiff 2.0, 458
RefDiff 2.0, 242
RefDiff 2.0, 2923
RefDiff 2.0, 518
RefDiff 2.0, 117
RefDiff 2.0, 120
RefDiff 2.0, 100
RefDiff 2.0, 97
RefDiff 2.0, 33
RefDiff 2.0, 60
RefDiff 2.0, 45
RefDiff 2.0, 55
RefDiff 2.0, 393
RefDiff 2.0, 231
RefDiff 2.0, 271
RefDiff 2.0, 139
RefDiff 2.0, 638
RefDiff 2.0, 45
RefDiff 2.0, 221
RefDiff 2.0, 106
RefDiff 2.0, 58
RefDiff 2.0, 347
RefDiff 2.0, 57
RefDiff 2.0, 53
RefDiff 2.0, 63
RefDiff 2.0, 37
RefDiff 2.0, 65
RefDiff 2.0, 133
RefDiff 2.0, 255
RefDiff 2.0, 54
RefDiff 2.0, 206
RefDiff 2.0, 380
RefDiff 2.0, 31
RefDiff 2.0, 505
RefDiff 2.0, 505
RefDiff 2.0, 312
RefDiff 2.0, 193
RefDiff 2.0, 188
RefDiff 2.0, 974
RefDiff 2.0, 1658
RefDiff 2.0, 38
RefDiff 2.0, 134
RefDiff 2.0, 251
RefDiff 2.0, 367
RefDiff 2.0, 216
RefDiff 2.0, 96
RefDiff 2.0, 68
RefDiff 2.0, 523
RefDiff 2.0, 314
RefDiff 2.0, 122
RefDiff 2.0, 181
RefDiff 2.0, 5149
RefDiff 2.0, 63
RefDiff 2.0, 60
RefDiff 2.0, 54
RefDiff 2.0, 84
RefDiff 2.0, 142
RefDiff 2.0, 35
RefDiff 2.0, 113
RefDiff 2.0, 205
RefDiff 2.0, 188
RefDiff 2.0, 60
RefDiff 2.0, 694
RefDiff 2.0, 694
RefDiff 2.0, 381
RefDiff 2.0, 54
RefDiff 2.0, 1473
RefDiff 2.0, 48
RefDiff 2.0, 79
RefDiff 2.0, 39
RefDiff 2.0, 60
RefDiff 2.0, 198
RefDiff 2.0, 188
RefDiff 2.0, 60
RefDiff 2.0, 57
RefDiff 2.0, 251
RefDiff 2.0, 33
RefDiff 2.0, 71
RefDiff 2.0, 71
RefDiff 2.0, 138
RefDiff 2.0, 57
RefDiff 2.0, 150
RefDiff 2.0, 205
RefDiff 2.0, 60
RefDiff 2.0, 166
RefDiff 2.0, 104
RefDiff 2.0, 291
RefDiff 2.0, 81
RefDiff 2.0, 95
RefDiff 2.0, 111
RefDiff 2.0, 76
RefDiff 2.0, 1305
RefDiff 2.0, 63
RefDiff 2.0, 63
RefDiff 2.0, 32
RefDiff 2.0, 38
RefDiff 2.0, 72
RefDiff 2.0, 289
RefDiff 2.0, 292
RefDiff 2.0, 52
RefDiff 2.0, 49
RefDiff 2.0, 93
RefDiff 2.0, 40
RefDiff 2.0, 83
RefDiff 2.0, 173
RefDiff 2.0, 122
RefDiff 2.0, 125
RefDiff 2.0, 29
RefDiff 2.0, 104
RefDiff 2.0, 45
RefDiff 2.0, 206
RefDiff 2.0, 38
RefDiff 2.0, 70
RefDiff 2.0, 58
RefDiff 2.0, 121
RefDiff 2.0, 85
RefDiff 2.0, 62
RefDiff 2.0, 192
RefDiff 2.0, 32
RefDiff 2.0, 161
RefDiff 2.0, 50
RefDiff 2.0, 100
RefDiff 2.0, 201
RefDiff 2.0, 311
RefDiff 2.0, 66
RefDiff 2.0, 45
RefDiff 2.0, 74
RefDiff 2.0, 605
RefDiff 2.0, 92
RefDiff 2.0, 50
RefDiff 2.0, 603
RefDiff 2.0, 960
RefDiff 2.0, 43
RefDiff 2.0, 47
RefDiff 2.0, 85
RefDiff 2.0, 40
RefDiff 2.0, 108
RefDiff 2.0, 58
RefDiff 2.0, 131
RefDiff 2.0, 32
RefDiff 2.0, 186
RefDiff 2.0, 59
RefDiff 2.0, 35
RefDiff 2.0, 473
RefDiff 2.0, 48
RefDiff 2.0, 48
RefDiff 2.0, 46
RefDiff 2.0, 69
RefDiff 2.0, 40
RefDiff 2.0, 86
RefDiff 2.0, 63
