Tool, Runtime
RefDiff 1.0, 18000
RefDiff 1.0, 2266
RefDiff 1.0, 895
RefDiff 1.0, 6735
RefDiff 1.0, 3553
RefDiff 1.0, 6433
RefDiff 1.0, 4768
RefDiff 1.0, 434
RefDiff 1.0, 4054
RefDiff 1.0, 550
RefDiff 1.0, 110
RefDiff 1.0, 3275
RefDiff 1.0, 2996
RefDiff 1.0, 1765
RefDiff 1.0, 477
RefDiff 1.0, 4251
RefDiff 1.0, 1640
RefDiff 1.0, 22640
RefDiff 1.0, 2291
RefDiff 1.0, 589
RefDiff 1.0, 1261
RefDiff 1.0, 242
RefDiff 1.0, 7577
RefDiff 1.0, 1680
RefDiff 1.0, 596
RefDiff 1.0, 4534
RefDiff 1.0, 638
RefDiff 1.0, 1818
RefDiff 1.0, 1880
RefDiff 1.0, 2155
RefDiff 1.0, 1285
RefDiff 1.0, 204
RefDiff 1.0, 153
RefDiff 1.0, 778
RefDiff 1.0, 206
RefDiff 1.0, 669
RefDiff 1.0, 643
RefDiff 1.0, 1628
RefDiff 1.0, 11112
RefDiff 1.0, 1759
RefDiff 1.0, 412
RefDiff 1.0, 224
RefDiff 1.0, 594
RefDiff 1.0, 341
RefDiff 1.0, 469
RefDiff 1.0, 294
RefDiff 1.0, 346
RefDiff 1.0, 2481
RefDiff 1.0, 4120
RefDiff 1.0, 420
RefDiff 1.0, 821
RefDiff 1.0, 1595
RefDiff 1.0, 99
RefDiff 1.0, 307
RefDiff 1.0, 3087
RefDiff 1.0, 4195
RefDiff 1.0, 1502
RefDiff 1.0, 766
RefDiff 1.0, 1273
RefDiff 1.0, 1661
RefDiff 1.0, 501
RefDiff 1.0, 4095
RefDiff 1.0, 783
RefDiff 1.0, 19591
RefDiff 1.0, 538
RefDiff 1.0, 3302
RefDiff 1.0, 1337
RefDiff 1.0, 3468
RefDiff 1.0, 263
RefDiff 1.0, 2272
RefDiff 1.0, 2199
RefDiff 1.0, 2256
RefDiff 1.0, 1332
RefDiff 1.0, 1175
RefDiff 1.0, 163
RefDiff 1.0, 1179
RefDiff 1.0, 699
RefDiff 1.0, 445
RefDiff 1.0, 1244
